id,chapter,chapterNameHe,descriptionHe,qty,unit,sectionId,coverage,coverageRef,coveredByContractId,noteHe
01.01.010,01,עבודות עפר,חפירה כללית בכל סוגי הקרקע,9800,מ״ק,04,covered,חוזה 04-01,04-01,
01.01.020,01,עבודות עפר,חפירת תעלות ליסודות,1200,מ״ק,04,covered,חוזה 04-01,04-01,
01.01.030,01,עבודות עפר,מילוי מובא מהודק,2600,מ״ק,04,covered,חוזה 04-01,04-01,
01.02.010,01,עבודות עפר,פינוי עודפי עפר,7200,מ״ק,04,covered,חוזה 04-01,04-01,
01.02.020,01,עבודות עפר,הידוק שתית,3100,מ״ר,04,covered,חוזה 04-01,04-01,
01.02.030,01,עבודות עפר,דיפון זמני,620,מ״ר,04,covered,חוזה 04-01,04-01,
02.01.010,02,בטון יצוק באתר,בטון רזה,210,מ״ק,02,covered,חוזה 02-01,02-01,
02.01.020,02,בטון יצוק באתר,רפסודת יסוד ב-30,1150,מ״ק,02,covered,חוזה 02-01,02-01,
02.01.030,02,בטון יצוק באתר,קירות תת-קרקעיים ב-30,640,מ״ק,02,covered,חוזה 02-01,02-01,
02.02.010,02,בטון יצוק באתר,עמודים ב-30,380,מ״ק,02,covered,חוזה 02-01,02-01,
02.02.020,02,בטון יצוק באתר,קורות ב-30,520,מ״ק,02,covered,חוזה 02-01,02-01,
02.02.030,02,בטון יצוק באתר,תקרות ב-30 עובי 22 ס״מ,2980,מ״ק,02,covered,חוזה 02-01,02-01,
02.03.010,02,בטון יצוק באתר,מדרגות,96,מ״ק,02,covered,חוזה 02-01,02-01,
02.03.020,02,בטון יצוק באתר,קירות ממ״ד ב-30,410,מ״ק,02,covered,חוזה 02-01,02-01,
02.03.030,02,בטון יצוק באתר,מוטות פלדה מצולעים לזיון,750,טון,03,covered,"הסכם מסגרת 03-F (אספקה ע״י המזמין, מוחרג מחוזה השלד 02-01 §2.5)",03-F,
02.04.010,02,בטון יצוק באתר,רשתות פלדה מרותכות,38,טון,03,covered,"הסכם מסגרת 03-F (אספקה ע״י המזמין, מוחרג מחוזה השלד 02-01 §2.5)",03-F,
02.04.020,02,בטון יצוק באתר,טפסות לקירות,9100,מ״ר,02,covered,חוזה 02-01,02-01,
02.04.030,02,בטון יצוק באתר,טפסות לתקרות,13500,מ״ר,02,covered,חוזה 02-01,02-01,
02.05.010,02,בטון יצוק באתר,איטום פני בטון בתת-קרקע,3100,מ״ר,02,covered,חוזה 02-01,02-01,
02.05.020,02,בטון יצוק באתר,הכנות לפתחים ושרוולים,1,קומפ׳,02,covered,חוזה 02-01,02-01,
04.01.010,04,בנייה,בנייה בבלוקי בטון 20 ס״מ,6400,מ״ר,06,covered,חוזה 06-01,06-01,
04.01.020,04,בנייה,בנייה בבלוקי בטון 10 ס״מ,4100,מ״ר,06,covered,חוזה 06-01,06-01,
04.01.030,04,בנייה,בנייה בבלוקי איטונג 15 ס״מ,2200,מ״ר,06,covered,חוזה 06-01,06-01,
04.02.010,04,בנייה,חגורות ועמודונים,210,מ״ק,06,covered,חוזה 06-01,06-01,
04.02.020,04,בנייה,משקופים סמויים,480,יח׳,06,covered,חוזה 06-01,06-01,
04.02.030,04,בנייה,ארגזי תריסים,190,יח׳,06,covered,חוזה 06-01,06-01,
05.01.010,05,איטום,איטום יסודות ביריעות ביטומניות,3100,מ״ר,05,covered,חוזה 05-01,05-01,
05.01.020,05,איטום,איטום קירות תת-קרקעיים,2400,מ״ר,05,covered,חוזה 05-01,05-01,
05.01.030,05,איטום,איטום גגות,1350,מ״ר,05,covered,חוזה 05-01,05-01,
05.02.010,05,איטום,איטום חדרים רטובים,1450,מ״ר,05,covered,חוזה 05-01,05-01,
05.02.020,05,איטום,איטום מרפסות,960,מ״ר,05,covered,חוזה 05-01,05-01,
05.02.030,05,איטום,איטום קירות חניון,1800,מ״ר,05,covered,חוזה 05-01,05-01,
06.01.010,06,נגרות ומסגרות,דלתות כניסה לדירות,48,יח׳,13,not_contracted,,,
06.01.020,06,נגרות ומסגרות,דלתות פנים,336,יח׳,13,not_contracted,,,
06.01.030,06,נגרות ומסגרות,מעקות מתכת למדרגות,420,מ׳,13,not_contracted,,,
06.02.010,06,נגרות ומסגרות,מעקות מרפסות (מסגרות),380,מ׳,13,not_contracted,,,
06.02.020,06,נגרות ומסגרות,דלתות אש לחניון,22,יח׳,13,not_contracted,,,
