id,supplierId,supplierDocNo,docType,partialNo,period,date,dateReceived,enteredAt,enteredBy,sectionId,contractId,poId,descriptionHe,amount,cumulativePrev,cumulativeNow,retentionPct,retentionAmt,netPayable,building,status,approvedBy,attachmentId,quantity,unit,unitPrice
935,SUP-CRANE,202511-CRA,חשבונית מס,,2025-11,2025-11-30,2025-11-30,2025-12-02,SARIT,01,,,השכרת מנוף צריח — נובמבר 2025,31070,,,0,0,31070,משותף,שולם,EYAL,,1,חודש,31070
936,SUP-GUARD,202511-GUA,חשבונית מס,,2025-11,2025-11-30,2025-11-30,2025-12-02,SARIT,01,,,שמירה באתר — נובמבר 2025,19270,,,0,0,19270,משותף,שולם,EYAL,,1,חודש,19270
937,SUP-TOILET,202511-TOI,חשבונית מס,,2025-11,2025-11-30,2025-11-30,2025-12-02,SARIT,01,,,שירותים ניידים — נובמבר 2025,2500,,,0,0,2500,משותף,שולם,EYAL,,1,חודש,2500
938,SUP-SCAFF,202511-SCA,חשבונית מס,,2025-11,2025-11-30,2025-11-30,2025-12-02,SARIT,01,,,השכרת פיגומים — נובמבר 2025,11090,,,0,0,11090,משותף,שולם,EYAL,,1,חודש,11090
939,SUP-FORM,202511-FOR,חשבונית מס,,2025-11,2025-11-30,2025-11-30,2025-12-02,SARIT,01,,,השכרת טפסות ותמיכות — נובמבר 2025,14130,,,0,0,14130,משותף,שולם,EYAL,,1,חודש,14130
940,SUP-UTIL,202511-UTI,חשבונית מס,,2025-11,2025-11-30,2025-11-30,2025-12-02,SARIT,01,,,חשמל ומים לאתר — נובמבר 2025,6230,,,0,0,6230,משותף,שולם,EYAL,,1,חודש,6230
941,SUP-LAB,202511-LAB,חשבונית מס,,2025-11,2025-11-30,2025-11-30,2025-12-02,SARIT,01,,,בדיקות בטון וקרקע — נובמבר 2025,3840,,,0,0,3840,משותף,שולם,EYAL,,1,חודש,3840
942,SUP-SURVEY,202511-SUR,חשבונית מס,,2025-11,2025-11-30,2025-11-30,2025-12-02,SARIT,01,,,מדידות — נובמבר 2025,3440,,,0,0,3440,משותף,שולם,EYAL,,1,חודש,3440
943,SUP-SAFETY,202511-SAF,חשבונית מס,,2025-11,2025-11-30,2025-11-30,2025-12-02,SARIT,01,,,ייעוץ בטיחות — נובמבר 2025,2760,,,0,0,2760,משותף,שולם,EYAL,,1,חודש,2760
944,SUP-WASTE,202511-WAS,חשבונית מס,,2025-11,2025-11-30,2025-11-30,2025-12-02,SARIT,01,,,פינוי פסולת בניין — נובמבר 2025,4800,,,0,0,4800,משותף,שולם,EYAL,,1,חודש,4800
945,SUP-PUMP,202511-PUM,חשבונית מס,,2025-11,2025-11-30,2025-11-30,2025-12-02,SARIT,01,,,משאבות בטון — נובמבר 2025,11980,,,0,0,11980,משותף,שולם,EYAL,,1,חודש,11980
946,SUP-FENCE,202511-FEN,חשבונית מס,,2025-11,2025-11-30,2025-11-30,2025-12-02,SARIT,01,,,גדרות ושערי אתר — נובמבר 2025,2110,,,0,0,2110,משותף,שולם,EYAL,,1,חודש,2110
947,SUP-OFFICE,202511-OFF,חשבונית מס,,2025-11,2025-11-30,2025-11-30,2025-12-02,SARIT,01,,,השכרת משרדי אתר — נובמבר 2025,5980,,,0,0,5980,משותף,שולם,EYAL,,1,חודש,5980
948,SUP-COMMS,202511-COM,חשבונית מס,,2025-11,2025-11-30,2025-11-30,2025-12-02,SARIT,01,,,תקשורת ושילוט — נובמבר 2025,1410,,,0,0,1410,משותף,שולם,EYAL,,1,חודש,1410
949,SUP-GEN,202511-GEN,חשבונית מס,,2025-11,2025-11-30,2025-11-30,2025-12-02,SARIT,01,,,השכרת גנרטור וציוד — נובמבר 2025,4540,,,0,0,4540,משותף,שולם,EYAL,,1,חודש,4540
950,SUP-BM,שלד-1,חשבון חלקי,1,2025-11,2025-11-30,2025-11-30,2025-12-02,SARIT,02,02-01,,"חשבון חלקי מס׳ 1 — עבודות שלד, נובמבר 2025",400000,0,400000,5,20000,380000,A,שולם,EYAL,,,,
951,SUP-DORON,עפר-1,חשבון חלקי,1,2025-11,2025-11-30,2025-11-30,2025-12-02,SARIT,04,04-01,,"חשבון חלקי מס׳ 1 — עבודות עפר, דיפון וכלונסאות",500000,0,500000,5,25000,475000,משותף,שולם,EYAL,,,,
952,INTERNAL,הקצאה-1,חשבונית מס,,2025-11,2025-11-30,2025-11-30,2025-12-02,SARIT,18,,,"הקצאת הנהלה, פיקוח, ביטוח ואגרות — נובמבר 2025",210000,,,0,0,210000,משותף,שולם,EYAL,,,,
953,SUP-PLADOT,ת.מ. 4410,חשבונית מס,,2025-12,2025-12-04,2025-12-04,2025-12-05,SARIT,03,03-F,,אספקת ברזל זיון מצולע — 24 טון,96000,,,0,0,96000,A,שולם,EYAL,,24,טון,4000
954,SUP-PLADOT,ת.מ. 4417,חשבונית מס,,2025-12,2025-12-18,2025-12-18,2025-12-19,SARIT,03,03-F,,אספקת ברזל זיון מצולע — 25 טון,100000,,,0,0,100000,B,שולם,EYAL,,25,טון,4000
955,SUP-CRANE,202512-CRA,חשבונית מס,,2025-12,2025-12-31,2025-12-31,2026-01-02,SARIT,01,,,השכרת מנוף צריח — דצמבר 2025,30090,,,0,0,30090,משותף,שולם,EYAL,,1,חודש,30090
956,SUP-GUARD,202512-GUA,חשבונית מס,,2025-12,2025-12-31,2025-12-31,2026-01-02,SARIT,01,,,שמירה באתר — דצמבר 2025,19010,,,0,0,19010,משותף,שולם,EYAL,,1,חודש,19010
957,SUP-TOILET,202512-TOI,חשבונית מס,,2025-12,2025-12-31,2025-12-31,2026-01-02,SARIT,01,,,שירותים ניידים — דצמבר 2025,2430,,,0,0,2430,משותף,שולם,EYAL,,1,חודש,2430
958,SUP-SCAFF,202512-SCA,חשבונית מס,,2025-12,2025-12-31,2025-12-31,2026-01-02,SARIT,01,,,השכרת פיגומים — דצמבר 2025,12410,,,0,0,12410,משותף,שולם,EYAL,,1,חודש,12410
959,SUP-FORM,202512-FOR,חשבונית מס,,2025-12,2025-12-31,2025-12-31,2026-01-02,SARIT,01,,,השכרת טפסות ותמיכות — דצמבר 2025,15340,,,0,0,15340,משותף,שולם,EYAL,,1,חודש,15340
960,SUP-UTIL,202512-UTI,חשבונית מס,,2025-12,2025-12-31,2025-12-31,2026-01-02,SARIT,01,,,חשמל ומים לאתר — דצמבר 2025,6390,,,0,0,6390,משותף,שולם,EYAL,,1,חודש,6390
961,SUP-LAB,202512-LAB,חשבונית מס,,2025-12,2025-12-31,2025-12-31,2026-01-02,SARIT,01,,,בדיקות בטון וקרקע — דצמבר 2025,4060,,,0,0,4060,משותף,שולם,EYAL,,1,חודש,4060
