id,date,supplierId,sectionId,contractId,descriptionHe,qty,unit,unitPrice,amount,deliveredQty,invoicedAmount,status,attachmentId,kind
2201,2025-11-01,SUP-CRANE,01,,הזמנת מסגרת — השכרת מנוף צריח — 15 חודשים,15,חודשים,30000,450000,10,299830,פתוחה,,blanket
2202,2025-11-01,SUP-GUARD,01,,הזמנת מסגרת — שמירה באתר — 15 חודשים,15,חודשים,18000,270000,10,179660,פתוחה,,blanket
2203,2025-11-01,SUP-TOILET,01,,הזמנת מסגרת — שירותים ניידים — 15 חודשים,15,חודשים,2500,37500,10,25060,פתוחה,,blanket
2204,2025-11-01,SUP-SCAFF,01,,הזמנת מסגרת — השכרת פיגומים — 15 חודשים,15,חודשים,12000,180000,10,119590,פתוחה,,blanket
2205,2025-11-01,SUP-FORM,01,,הזמנת מסגרת — השכרת טפסות ותמיכות — 15 חודשים,15,חודשים,15000,225000,10,152040,פתוחה,,blanket
2206,2025-11-01,SUP-UTIL,01,,הזמנת מסגרת — חשמל ומים לאתר — 15 חודשים,15,חודשים,6000,90000,10,59690,פתוחה,,blanket
2207,2025-11-01,SUP-LAB,01,,הזמנת מסגרת — בדיקות בטון וקרקע — 15 חודשים,15,חודשים,4000,60000,10,40630,פתוחה,,blanket
2208,2025-11-01,SUP-SURVEY,01,,הזמנת מסגרת — מדידות — 15 חודשים,15,חודשים,3500,52500,10,34700,פתוחה,,blanket
2209,2025-11-01,SUP-SAFETY,01,,הזמנת מסגרת — ייעוץ בטיחות — 15 חודשים,15,חודשים,3000,45000,10,30600,פתוחה,,blanket
2210,2025-11-01,SUP-WASTE,01,,הזמנת מסגרת — פינוי פסולת בניין — 15 חודשים,15,חודשים,5000,75000,10,50780,פתוחה,,blanket
2211,2025-11-01,SUP-PUMP,01,,הזמנת מסגרת — משאבות בטון — 15 חודשים,15,חודשים,12000,180000,10,121970,פתוחה,,blanket
2212,2025-11-01,SUP-FENCE,01,,הזמנת מסגרת — גדרות ושערי אתר — 15 חודשים,15,חודשים,2000,30000,10,20060,פתוחה,,blanket
2213,2025-11-01,SUP-OFFICE,01,,הזמנת מסגרת — השכרת משרדי אתר — 15 חודשים,15,חודשים,6000,90000,10,60730,פתוחה,,blanket
2214,2025-11-01,SUP-COMMS,01,,הזמנת מסגרת — תקשורת ושילוט — 15 חודשים,15,חודשים,1500,22500,10,14530,פתוחה,,blanket
