id,nameHe,budget,split,contractIds
01,"ארגון אתר, מנוף, שמירה ושירותי אתר",1900000,shared,
02,שלד — עבודה ובטון (קבלן משנה),12600000,by_floors,02-01
03,אספקת ברזל זיון,3000000,by_floors,03-F
04,"עבודות עפר, דיפון וכלונסאות",2900000,shared,04-01
05,איטום,900000,per_building,05-01
06,בנייה (בלוקים) וטיח,2400000,by_floors,06-01
07,פיתוח ותשתיות חוץ,3200000,shared,07-01
08,אינסטלציה ותברואה,2300000,by_units,08-01
09,חשמל ותקשורת,2600000,by_units,09-01
10,מיזוג אוויר,1500000,by_units,10-01
11,אלומיניום,2000000,by_units,11-01
12,ריצוף וחיפוי,2700000,by_units,
13,"נגרות, מסגרות ומעקות",1700000,by_units,
14,מעליות,1300000,per_building,14-01
15,צבע וגבס,1100000,by_units,
16,"מערכות חניון (שערים, אוורור, כיבוי)",1200000,parking,
17,בלתי צפוי,1500000,shared,
18,"הנהלה, פיקוח, ביטוח ואגרות",3200000,shared,
